koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
1.0000,0,0,0,0,0.0000,0.0000,0.2665,0.3980,5.6057496,31.6085510,35.80,1,107,1,0.85710,296.021330,50.567780,15.505,16.079,15.474,15.258,15.177,14.196,13.783,13.692,0.758,19.734760000,50.56789000,0.13000,0.39000,1.900000e-04,1.100000e-04,-0.1700,-0.0400,0.1700,-0.1600,0.0900,0.1800
0.9980,0,0,0,0,0.0000,0.0000,0.2676,0.3928,16.5544660,65.5948200,83.70,4,29,2,0.96470,300.863980,44.337551,12.882,13.293,12.850,12.706,12.646,11.752,11.494,11.431,0.012,20.057603000,44.33755300,0.19000,0.01000,2.000000e-04,1.200000e-04,0.1200,-0.2000,0.2300,0.2100,-0.0300,0.2200
0.0000,0,1,1,0,0.0000,0.0000,0.1959,0.5086,5.0937037,32.7226200,39.00,1,780,1,0.00000,292.315950,38.270290,15.629,16.325,15.556,15.331,15.173,14.140,13.729,13.681,0.000,19.487528600,38.27050000,-8.51000,0.75000,3.480000e-03,-5.800000e-04,-5.1060,0.8250,5.1720,-5.3010,0.8230,5.3640
0.7730,0,0,1,0,0.0000,0.0000,0.2711,0.3858,5.3061833,45.8856850,103.60,1,664,1,0.87960,294.368190,38.310280,15.279,15.857,15.224,15.031,14.880,13.918,13.590,13.507,0.000,19.624548900,38.30991500,0.09000,-1.31000,-2.000000e-05,8.000000e-04,0.1000,-0.8090,0.8200,-0.0060,-0.9600,0.9600
1.0000,0,0,0,0,0.0000,0.0000,0.3024,0.3288,6.3430967,48.7261240,64.50,2,494,1,0.22800,291.653530,38.494659,15.541,16.007,15.483,15.341,15.262,14.387,14.104,14.065,0.000,19.443577900,38.49474800,0.42000,0.32000,-3.700000e-04,-3.000000e-04,-0.0200,0.0500,0.0500,0.0200,0.1000,0.1040
1.0000,0,0,0,0,0.0000,0.0000,0.3024,0.3288,6.1683164,40.0420500,51.50,2,165,2,0.34310,291.653530,38.494659,15.541,16.007,15.483,15.341,15.262,14.387,14.104,14.065,0.000,19.443569700,38.49488600,0.07000,0.81000,-1.100000e-04,-8.300000e-04,0.0500,0.0700,0.0900,0.0700,0.1900,0.2000
,0,0,0,1,0.0000,0.0000,0.2714,0.3854,,,11.20,1,,,,291.044800,51.321671,15.727,16.243,15.658,15.506,15.404,14.464,14.175,14.149,,,,,,,,,,,,,
1.0000,0,0,0,0,0.0000,0.0000,0.2043,0.4966,5.7419868,39.8679770,47.60,2,159,1,0.92410,296.366520,51.319519,15.339,15.945,15.271,15.079,14.978,14.006,13.555,13.453,0.046,19.757802900,51.31958000,1.18000,0.22000,-4.800000e-04,3.700000e-04,-0.1480,0.0900,0.1700,-0.0970,0.0400,0.1060
0.9890,0,0,0,0,0.0000,0.0000,0.2043,0.4966,6.3354560,15.1397970,20.10,2,22,2,0.62440,296.366520,51.319519,15.339,15.945,15.271,15.079,14.978,14.006,13.555,13.453,0.424,19.757766000,51.31959000,-0.06000,0.26000,7.000000e-04,2.500000e-04,0.0000,0.5300,0.5300,0.0900,0.4600,0.4600
1.0000,0,0,0,0,0.0000,0.0000,0.2622,0.4035,31.5364230,207.6196000,277.20,1,104,1,0.05860,289.112210,51.737381,15.140,15.659,15.072,14.918,14.825,13.942,13.546,13.478,0.000,19.274141100,51.73768500,-0.23200,1.09900,1.170000e-03,1.480000e-03,-0.0650,-0.0580,0.0870,-0.0330,-0.0170,0.0370
